algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff
recursive-doubling-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,36.070,120.233,0.00000000
recursive-doubling-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,41.566,138.554,0.00000000
swing-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.184,123.946,0.00000095
swing-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,40.058,133.527,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,40.868,136.226,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.576,125.254,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,38.824,129.415,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.115,123.716,0.00000000
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.141,3.804,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.226,4.086,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.789,2.631,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.008,3.360,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.802,2.673,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.029,3.431,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.800,2.665,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.048,3.493,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.814,2.712,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.001,3.337,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.274,4.246,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.382,4.607,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.913,3.042,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.161,3.869,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.948,3.161,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.173,3.911,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.983,3.277,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.208,4.028,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.946,3.154,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.146,3.821,0.00000000
